,player_id,first_name,second_name,position,curr_price,ownership_percent,fixture_difficulty,next_gw_fixture_cnt,predicted_points
415,367.0,Giorgi,Mamardashvili,1,4.1,0.7,3,1.0,1.991733332537886
516,290.0,Jarrad,Branthwaite,2,5.3,0.4,3,1.0,1.9902434037478496
640,402.0,Rayan,Aït-Nouri,2,5.7,4.2,4,1.0,1.9820376590872584
574,644.0,Jean-Ricner,Bellegarde,3,5.1,0.0,3,1.0,1.9792050924395521
24,410.0,Rico,Lewis,2,4.6,1.2,4,1.0,1.975982681884606
632,319.0,Timothy,Castagne,2,4.3,0.1,3,1.0,1.9672718332107928
514,272.0,Jefferson,Lerma Solís,3,4.9,0.1,2,1.0,1.9555986779089463
732,332.0,Saša,Lukić,3,4.9,0.1,3,1.0,1.95401941187516
471,415.0,Sávio,Moreira de Oliveira,3,6.9,0.4,4,1.0,1.95119294218318
121,187.0,Kyle,Walker,2,4.4,1.1,4,1.0,1.9436762903165938
710,569.0,Cristian,Romero,2,5.0,3.0,3,1.0,1.9409748716719084
693,228.0,Malo,Gusto,2,4.9,1.9,4,1.0,1.9335343154621631
481,623.0,Freddie,Potts,3,4.3,0.5,3,1.0,1.9303245046701063
379,595.0,Callum,Olusesi,3,4.3,0.2,3,1.0,1.9303245046701063
530,497.0,Lewis,Miley,3,4.4,1.9,3,1.0,1.927708517478642
484,724.0,Lutsharel,Geertruida,2,4.5,0.1,4,1.0,1.9235812520483557
196,11.0,Benjamin,White,2,5.1,0.5,5,1.0,1.9225910858260011
283,30.0,Kai,Havertz,4,7.3,0.9,5,1.0,1.9224718151512963
627,243.0,Tyrique,George,3,4.8,0.1,3,1.0,1.905185136769951
617,145.0,Maxim,De Cuyper,2,4.3,1.5,2,1.0,1.8997755447859332
634,326.0,Adama,Traoré Diarra,3,5.1,0.2,3,1.0,1.8916851185725216
469,396.0,Trey,Nyoni,3,4.3,0.3,3,1.0,1.889631440029895
765,723.0,Jaydee,Canvot,2,4.5,0.2,2,1.0,1.8894298092107031
384,682.0,David,Møller Wolfe,2,4.2,0.1,3,1.0,1.8814905204096826
88,601.0,Wes,Foderingham,1,4.0,0.2,3,1.0,1.8803258762502995
43,738.0,Lukasz,Fabianski,1,4.5,0.0,3,1.0,1.8803258762502995
89,611.0,Kaelan,Casey,2,4.0,0.1,3,1.0,1.8803258762502995
713,625.0,Niclas,Füllkrug,4,5.6,0.6,3,1.0,1.8803258762502995
90,617.0,Maxwel,Cornet,3,4.9,0.0,3,1.0,1.8803258762502995
573,620.0,George,Earthy,3,4.5,0.0,3,1.0,1.8803258762502995
579,752.0,Airidas,Golambeckis,2,4.0,0.0,3,1.0,1.8803258762502995
