,player_id,first_name,second_name,position,curr_price,ownership_percent,fixture_difficulty,next_gw_fixture_cnt,predicted_points
589,780.0,Ben,Casey,4,4.5,0.0,3,1.0,2.1147491822173445
594,24.0,Christian,Nørgaard,3,5.1,0.1,3,1.0,2.1147491822173445
783,269.0,Romain,Esse,3,4.7,0.1,3,1.0,2.1147491822173445
533,678.0,Arthur,Masuaku,2,3.9,0.5,2,1.0,2.1147491822173445
599,118.0,Jayden,Meghoma,2,4.0,0.0,3,1.0,2.1147491822173445
782,264.0,Rob,Holding,2,4.0,0.0,3,1.0,2.1147491822173445
634,675.0,Angus,Gunn,1,4.0,1.1,3,1.0,2.1147491822173445
630,625.0,Niclas,Füllkrug,4,5.6,0.6,1,1.0,2.1147491822173445
625,499.0,Alexander,Isak,4,10.3,3.6,3,1.0,2.1147491822173445
611,275.0,Naouirou,Ahamada,3,4.3,0.0,3,1.0,2.1147491822173445
622,394.0,James,McConnell,3,4.4,0.0,3,1.0,2.1147491822173445
612,285.0,Odsonne,Édouard,4,5.0,0.2,3,1.0,2.1147491822173445
764,759.0,Marli,Salmon,2,4.0,0.0,3,1.0,2.1147491822173445
571,463.0,Sékou,Koné,3,4.3,0.1,2,1.0,2.1147491822173445
751,520.0,Lewis,O'Brien,3,5.0,0.0,3,1.0,2.1147491822173445
569,445.0,Harry,Amass,2,4.0,0.1,2,1.0,2.1147491822173445
567,398.0,Jayden,Danns,4,4.3,0.1,3,1.0,2.1147491822173445
534,696.0,Arnaud,Kalimuendo,4,6.0,0.1,3,1.0,2.1147491822173445
733,114.0,Benjamin,Arthur,2,3.8,0.2,3,1.0,2.1147491822173445
694,137.0,Iwan,Morgan,4,4.4,0.3,3,1.0,2.1147491822173445
693,133.0,Myles,Peart-Harris,3,4.4,0.0,3,1.0,2.1147491822173445
803,554.0,Abdoullah,Ba,3,4.3,0.3,2,1.0,2.1147491822173445
802,512.0,Omar,Richards,2,4.5,0.0,3,1.0,2.1147491822173445
744,380.0,Calvin,Ramsay,2,3.7,0.3,3,1.0,2.1147491822173445
748,455.0,Mason,Mount,3,5.9,0.3,2,1.0,2.1147491822173445
688,14.0,Maldini,Kacurri,2,3.9,0.1,3,1.0,2.1147491822173445
685,793.0,George,King,2,4.0,0.0,3,1.0,2.1147491822173445
683,694.0,Nordi,Mukiele,2,4.5,6.7,2,1.0,2.1147491822173445
798,465.0,Rasmus,Højlund,4,6.3,0.3,2,1.0,2.1147491822173445
669,446.0,Tyler,Fredricson,2,3.7,0.2,2,1.0,2.1147491822173445
668,441.0,Patrick,Dorgu,2,4.1,2.5,2,1.0,2.1147491822173445
797,451.0,Marcus,Rashford,3,7.0,0.0,2,1.0,2.1147491822173445
794,393.0,Stefan,Bajčetić Maquieira,3,4.2,0.1,3,1.0,2.1147491822173445
661,255.0,Remi,Matthews,1,3.9,0.1,3,1.0,2.1147491822173445
563,368.0,Ármin,Pécsi,1,3.8,0.9,3,1.0,2.1147491822173445
566,379.0,Rhys,Williams,2,3.7,0.6,3,1.0,2.1147491822173445
671,557.0,Harrison,Jones,3,4.3,0.1,2,1.0,2.1147491822173445
0,9.0,Jakub,Kiwior,2,5.4,0.0,3,1.0,2.1147491822173445
130,454.0,Antony,dos Santos,3,5.9,0.1,2,1.0,2.1147491822173445
349,530.0,Blondy,Nna Noukeu,1,3.9,0.1,2,1.0,2.1147491822173445
138,563.0,Luís Hemir,Silva Semedo,4,4.4,0.1,2,1.0,2.1147491822173445
344,509.0,David,Mota Veiga Teixeira do Carmo,2,4.5,0.0,3,1.0,2.1147491822173445
338,439.0,Diego,León Blanco,2,4.1,0.1,2,1.0,2.1147491822173445
337,432.0,André,Onana,1,4.9,0.1,2,1.0,2.1147491822173445
332,278.0,Jesurun,Rak-Sakyi,3,4.4,0.0,3,1.0,2.1147491822173445
330,259.0,Borna,Sosa,2,4.8,0.1,3,1.0,2.1147491822173445
322,134.0,Ryan,Trevitt,3,4.5,0.0,3,1.0,2.1147491822173445
142,602.0,Krisztián,Hegyi,1,3.9,0.2,1,1.0,2.1147491822173445
321,123.0,Fábio,Freitas Gouveia Carvalho,3,4.6,0.1,3,1.0,2.1147491822173445
320,122.0,Antoni,Milambo,3,5.2,0.0,3,1.0,2.1147491822173445
143,612.0,Lucas,Tolentino Coelho de Lima,3,5.9,1.1,1,1.0,2.1147491822173445
315,802.0,Keiber,Lamadrid,3,5.0,0.0,1,1.0,2.1147491822173445
149,715.0,John Victor,Maciel Furtado,1,4.0,0.3,3,1.0,2.1147491822173445
311,748.0,Josh,Dasilva,3,4.9,0.0,3,1.0,2.1147491822173445
310,738.0,Lukasz,Fabianski,1,4.5,0.0,1,1.0,2.1147491822173445
348,529.0,Simon,Moore,1,3.9,0.3,2,1.0,2.1147491822173445
350,535.0,Dennis,Cirkin,2,4.0,0.0,2,1.0,2.1147491822173445
371,819.0,Ollie,Shield,2,4.0,0.0,3,1.0,2.1147491822173445
351,541.0,Reinildo,Mandava,2,3.8,2.7,2,1.0,2.1147491822173445
368,775.0,Tymur,Tutierov,3,4.5,0.0,2,1.0,2.1147491822173445
