,player_id,first_name,second_name,position,curr_price,ownership_percent,chance_of_playing_next_round,fixture_difficulty,predicted_points
771,581.0,James,Maddison,3,6.8,0.1,100.0,4,1.7730843230509807
421,572.0,Radu,Drăgușin,2,4.5,0.0,100.0,4,1.7730843230509807
796,478.0,Kieran,Trippier,2,4.9,1.4,100.0,3,1.763722319884418
624,800.0,Djiamgone Jocelin Ta,Bi,3,4.9,0.0,75.0,2,1.7586051680066452
540,535.0,Dennis,Cirkin,2,4.0,0.0,100.0,2,1.7586051680066452
310,546.0,Milan,Aleksić,3,4.9,0.0,100.0,2,1.7586051680066452
490,272.0,Jefferson,Lerma Solís,3,4.9,0.1,100.0,4,1.7573346973746904
746,728.0,Merlin,Röhl,3,5.0,0.0,100.0,4,1.7561880191964923
783,135.0,Yoane,Wissa,4,7.3,0.6,100.0,3,1.7557345153712725
128,423.0,Nico,González Iglesias,3,5.9,0.1,100.0,3,1.7548445032297708
415,469.0,Nick,Pope,1,5.0,4.3,100.0,3,1.7471064225419397
351,727.0,Samuel,Chukwueze,3,5.3,0.1,100.0,5,1.743980370034175
569,385.0,Federico,Chiesa,3,6.3,0.3,100.0,4,1.7423544095190093
472,667.0,Adam,Aznou,2,4.2,0.1,100.0,4,1.7337263166896766
370,301.0,Carlos,Alcaraz Durán,3,5.2,0.1,100.0,4,1.7337263166896766
789,288.0,Mark,Travers,1,4.2,0.1,100.0,4,1.7337263166896766
292,305.0,Harrison,Armstrong,3,4.5,0.1,100.0,4,1.7337263166896766
630,296.0,Nathan,Patterson,2,4.4,0.0,100.0,4,1.7337263166896766
593,294.0,Séamus,Coleman,2,4.2,0.1,100.0,4,1.7337263166896766
597,378.0,Amara,Nallo,2,3.7,0.9,100.0,4,1.7337263166896766
510,640.0,Pedro,Cardoso de Lima,2,4.0,0.4,100.0,2,1.73206172979055
281,27.0,Reiss,Nelson,3,4.8,0.1,100.0,2,1.7317164134424186
663,455.0,Mason,Mount,3,5.9,0.3,100.0,3,1.7288457608070458
298,386.0,Alexis,Mac Allister,3,6.2,2.0,100.0,4,1.7277934390013645
453,326.0,Adama,Traoré Diarra,3,5.1,0.2,100.0,3,1.7262223413515918
717,125.0,Vitaly,Janelt,3,4.9,0.1,75.0,2,1.7228474057630927
612,657.0,Leon,Chiwome,4,4.4,0.0,100.0,2,1.7222158974489266
431,748.0,Josh,Dasilva,3,4.9,0.0,100.0,2,1.721870581100795
444,116.0,Aaron,Hickey,2,4.0,0.3,100.0,2,1.721870581100795
478,797.0,Kaye,Furo,4,4.5,0.0,100.0,2,1.721870581100795
192,98.0,Enes,Ünal,4,5.4,0.0,100.0,3,1.7190608875300661
91,362.0,Joël,Piroe,4,4.9,0.3,100.0,1,1.7184734869267253
814,792.0,Alysson Edward Franco,da Rocha dos Santos,3,5.0,0.0,100.0,3,1.7103718356360895
693,441.0,Patrick,Dorgu,2,4.1,2.4,100.0,3,1.7103718356360895
440,42.0,Andrés,García,2,3.9,0.2,100.0,3,1.7103718356360895
779,755.0,Shea,Lacey,3,4.5,0.0,100.0,3,1.7103718356360895
258,389.0,Harvey,Elliott,3,5.1,0.2,100.0,3,1.7103718356360895
570,400.0,Stefan,Ortega Moreno,1,4.7,0.2,100.0,3,1.7077484161806356
640,623.0,Freddie,Potts,3,4.3,0.5,100.0,3,1.7077484161806356
774,608.0,Ollie,Scarles,2,4.3,0.0,100.0,3,1.7077484161806356
773,600.0,Alphonse,Areola,1,4.2,1.9,100.0,3,1.7077484161806356
740,675.0,Angus,Gunn,1,4.0,1.1,100.0,3,1.7077484161806356
807,669.0,Dan,Ndoye,3,5.5,0.7,75.0,3,1.7077484161806356
462,523.0,Eric,da Silva Moreira,3,4.5,0.1,100.0,3,1.7077484161806356
430,738.0,Lukasz,Fabianski,1,4.5,0.0,100.0,3,1.7077484161806356
811,690.0,Rio,Cardines,3,4.4,0.3,100.0,4,1.7069764448533533
365,265.0,Caleb,Kporha,2,4.0,0.0,100.0,4,1.7069764448533533
522,259.0,Borna,Sosa,2,4.8,0.1,100.0,4,1.7069764448533533
627,40.0,Tyrone,Mings,2,4.3,0.6,100.0,3,1.7067142944152691
20,164.0,Matt,O'Riley,3,5.5,0.3,100.0,3,1.7043513220065658
198,252.0,Marc,Guiu Paz,4,4.0,5.0,100.0,3,1.7016695724153224
526,336.0,Harrison,Reed,3,4.3,0.3,100.0,5,1.700550768633318
109,345.0,Sebastiaan,Bornauw,2,3.8,0.1,100.0,1,1.6973178121645256
184,353.0,Daniel,James,3,5.2,0.1,100.0,1,1.6973178121645256
167,168.0,Facundo,Buonanotte,3,4.6,0.1,100.0,1,1.6973178121645256
227,665.0,Lucas Estella,Perri,1,4.4,0.3,100.0,1,1.6973178121645256
23,202.0,Jacob,Bruun Larsen,3,5.2,0.0,100.0,3,1.694825315841936
84,214.0,Mike,Trésor Ndayishimiye,3,4.3,0.1,100.0,3,1.6930414795859896
330,371.0,Milos,Kerkez,2,5.6,3.0,75.0,4,1.6834507609075333
117,721.0,Veljko,Milosavljevic,2,4.4,0.0,100.0,3,1.683195647244366
85,233.0,Josh,Acheampong,2,3.7,1.6,100.0,3,1.683195647244366
124,195.0,Lucas,Pires Silva,2,3.8,0.3,100.0,3,1.683195647244366
14,685.0,Bafodé,Diakité,2,4.1,0.3,100.0,3,1.683195647244366
25,232.0,Tosin,Adarabioyo,2,4.0,0.3,100.0,3,1.683195647244366
24,231.0,Mamadou,Sarr,2,4.5,0.0,100.0,3,1.683195647244366
18,149.0,Igor Julio,dos Santos de Paulo,2,4.5,0.1,100.0,3,1.683195647244366
13,401.0,Marcus,Bettinelli,1,3.8,0.4,100.0,3,1.683195647244366
9,199.0,Joe,Worrall,2,3.8,0.2,100.0,3,1.683195647244366
35,80.0,Julio,Soler Barreto,2,3.9,0.2,100.0,3,1.683195647244366
72,410.0,Rico,Lewis,2,4.6,1.2,100.0,3,1.683195647244366
58,428.0,Sverre,Nypan,3,5.0,0.0,100.0,3,1.683195647244366
234,198.0,Axel,Tuanzebe,2,3.9,0.9,100.0,3,1.683195647244366
200,409.0,John,Stones,2,5.4,0.6,100.0,3,1.683195647244366
201,794.0,Max,Alleyne,2,3.9,0.0,100.0,3,1.683195647244366
190,75.0,Matai,Akinmboni,2,3.8,0.2,100.0,3,1.683195647244366
