,player_id,first_name,second_name,position,curr_price,ownership_percent,fixture_difficulty,next_gw_fixture_cnt,predicted_points
251,45.0,Lino,da Cruz Sousa,2,3.8,0.3,2,1.0,1.6395383659457303
53,509.0,David,Mota Veiga Teixeira do Carmo,2,4.5,0.0,1,1.0,1.6352342788270013
394,518.0,João Pedro,Ferreira da Silva,3,5.4,0.0,1,1.0,1.6352342788270013
161,520.0,Lewis,O'Brien,3,5.0,0.0,1,1.0,1.6352342788270013
202,805.0,Lorenzo,Lucca,4,5.4,0.0,1,1.0,1.6352342788270013
16,503.0,Carlos Miguel,dos Santos Pereira,1,4.0,0.1,1,1.0,1.6352342788270013
562,512.0,Omar,Richards,2,4.5,0.0,1,1.0,1.6352342788270013
147,12.0,Oleksandr,Zinchenko,2,4.9,0.2,1,1.0,1.6352342788270013
457,513.0,Zach,Abbott,2,3.8,0.3,1,1.0,1.6352342788270013
421,696.0,Arnaud,Kalimuendo,4,6.0,0.1,1,1.0,1.6352342788270013
124,400.0,Stefan,Ortega Moreno,1,4.7,0.2,1,1.0,1.6352342788270013
18,511.0,Felipe,Rodrigues da Silva,2,4.3,0.1,1,1.0,1.6352342788270013
534,715.0,John Victor,Maciel Furtado,1,4.0,0.3,1,1.0,1.6352342788270013
449,523.0,Eric,da Silva Moreira,3,4.5,0.1,1,1.0,1.6352342788270013
308,524.0,Marko,Stamenić,3,4.5,0.0,1,1.0,1.6352342788270013
535,716.0,Nicolò,Savona,2,4.5,0.1,1,1.0,1.6352342788270013
447,504.0,Matt,Turner,1,4.0,0.1,1,1.0,1.6352342788270013
28,729.0,Luis Eduardo,Soares da Silva,2,4.5,0.0,1,1.0,1.6352342788270013
522,514.0,Willy,Boly,2,3.8,0.3,1,1.0,1.6352342788270013
498,675.0,Angus,Gunn,1,4.0,1.1,1,1.0,1.6352342788270013
557,451.0,Marcus,Rashford,3,7.0,0.0,3,1.0,1.634505563438421
517,472.0,Odysseas,Vlachodimos,1,4.0,0.0,3,1.0,1.634505563438421
499,689.0,Seung-Soo,Park,3,4.3,0.5,3,1.0,1.634505563438421
38,122.0,Antoni,Milambo,3,5.2,0.0,3,1.0,1.634505563438421
32,748.0,Josh,Dasilva,3,4.9,0.0,3,1.0,1.634505563438421
40,134.0,Ryan,Trevitt,3,4.5,0.0,3,1.0,1.634505563438421
516,454.0,Antony,dos Santos,3,5.9,0.1,3,1.0,1.634505563438421
561,495.0,Isaac,Hayden,3,4.5,0.0,3,1.0,1.634505563438421
558,465.0,Rasmus,Højlund,4,6.3,0.3,3,1.0,1.634505563438421
474,118.0,Jayden,Meghoma,2,4.0,0.0,3,1.0,1.634505563438421
247,797.0,Kaye,Furo,4,4.5,0.0,3,1.0,1.634505563438421
306,484.0,Matt,Targett,2,4.0,0.1,3,1.0,1.634505563438421
305,482.0,Harrison,Ashby,2,3.9,0.1,3,1.0,1.634505563438421
47,432.0,André,Onana,1,4.9,0.1,3,1.0,1.634505563438421
303,461.0,Jayce,Fitzgerald,3,4.3,0.0,3,1.0,1.634505563438421
300,448.0,Tyrell,Malacia,2,3.7,0.5,3,1.0,1.634505563438421
299,433.0,Elyh,Harrison,1,4.0,0.0,3,1.0,1.634505563438421
96,441.0,Patrick,Dorgu,2,4.1,2.4,3,1.0,1.634505563438421
97,446.0,Tyler,Fredricson,2,3.7,0.2,3,1.0,1.634505563438421
98,483.0,Miodrag,Pivaš,2,3.8,0.4,3,1.0,1.634505563438421
284,772.0,Sam,Alabi,3,4.5,0.0,3,1.0,1.634505563438421
283,753.0,John,Ruddy,1,4.0,0.0,3,1.0,1.634505563438421
267,463.0,Sékou,Koné,3,4.3,0.1,3,1.0,1.634505563438421
265,445.0,Harry,Amass,2,4.0,0.1,3,1.0,1.634505563438421
249,810.0,Luka,Bentt,3,4.5,0.0,3,1.0,1.634505563438421
246,788.0,Godwill,Kukonki,2,4.0,0.0,3,1.0,1.634505563438421
329,133.0,Myles,Peart-Harris,3,4.4,0.0,3,1.0,1.634505563438421
244,765.0,Leo,Shahar,2,4.0,0.0,3,1.0,1.634505563438421
229,496.0,Garang,Kuol,3,4.4,0.0,3,1.0,1.634505563438421
227,474.0,Fabian,Schär,2,5.2,1.1,3,1.0,1.634505563438421
226,434.0,Tom,Heaton,1,3.8,0.5,3,1.0,1.634505563438421
118,102.0,Ellery,Balcombe,1,3.9,0.3,3,1.0,1.634505563438421
189,479.0,Emil,Krafth,2,4.3,0.0,3,1.0,1.634505563438421
188,468.0,Ethan,Wheatley,4,4.5,0.1,3,1.0,1.634505563438421
187,467.0,Chido,Obi,4,4.2,1.4,3,1.0,1.634505563438421
186,464.0,Jack,Moorhouse,3,4.5,0.0,3,1.0,1.634505563438421
184,447.0,Ayden,Heaven,2,3.7,3.1,3,1.0,1.634505563438421
180,117.0,Kim,Ji-soo,2,3.9,0.1,3,1.0,1.634505563438421
179,112.0,Mads,Roerslev Rasmussen,2,4.5,0.0,3,1.0,1.634505563438421
158,455.0,Mason,Mount,3,5.9,0.3,3,1.0,1.634505563438421
149,114.0,Benjamin,Arthur,2,3.8,0.2,3,1.0,1.634505563438421
89,128.0,Frank,Onyeka,3,4.8,0.0,3,1.0,1.634505563438421
304,471.0,Mark,Gillespie,1,3.9,0.1,3,1.0,1.634505563438421
330,137.0,Iwan,Morgan,4,4.4,0.3,3,1.0,1.634505563438421
370,492.0,Antoñito,Cordero Campillo,3,4.9,0.0,3,1.0,1.634505563438421
7,115.0,Benjamin,Fredrick,2,4.0,0.1,3,1.0,1.634505563438421
446,501.0,Sean,Neave,4,4.3,0.3,3,1.0,1.634505563438421
445,462.0,Jack,Fletcher,3,4.3,0.1,3,1.0,1.634505563438421
444,436.0,Matthijs,de Ligt,2,4.9,1.8,3,1.0,1.634505563438421
443,435.0,Dermot,Mee,1,3.9,0.1,3,1.0,1.634505563438421
433,132.0,Paris,Maghoma,3,4.5,0.0,3,1.0,1.634505563438421
431,116.0,Aaron,Hickey,2,4.0,0.3,3,1.0,1.634505563438421
456,498.0,Joe,White,3,4.5,0.0,3,1.0,1.634505563438421
430,104.0,Julian,Eyestone,1,3.9,0.1,3,1.0,1.634505563438421
407,755.0,Shea,Lacey,3,4.5,0.0,3,1.0,1.634505563438421
392,480.0,Jamaal,Lascelles,2,4.3,0.0,3,1.0,1.634505563438421
79,819.0,Ollie,Shield,2,4.0,0.0,3,1.0,1.634505563438421
76,771.0,Tyler,Fletcher,3,4.4,0.0,3,1.0,1.634505563438421
369,460.0,Toby,Collyer,3,4.5,0.0,3,1.0,1.634505563438421
359,131.0,Yunus Emre,Konak,3,4.3,0.1,3,1.0,1.634505563438421
